Wavelength (nm)	n	k
225.4	1.9066	0.0609
225.8	1.9055	0.0601
226.3	1.9044	0.0593
226.7	1.9032	0.0586
227.1	1.9021	0.0578
227.5	1.9010	0.0570
227.9	1.8999	0.0563
228.3	1.8988	0.0555
228.8	1.8977	0.0548
229.2	1.8966	0.0541
229.6	1.8955	0.0534
230.0	1.8944	0.0526
230.5	1.8933	0.0519
230.9	1.8922	0.0512
231.3	1.8911	0.0505
231.7	1.8900	0.0498
232.2	1.8889	0.0492
232.6	1.8878	0.0485
233.1	1.8868	0.0478
233.5	1.8857	0.0471
233.9	1.8846	0.0465
234.4	1.8835	0.0458
234.8	1.8825	0.0452
235.3	1.8814	0.0445
235.7	1.8803	0.0439
236.2	1.8793	0.0433
236.6	1.8782	0.0426
237.1	1.8772	0.0420
237.5	1.8761	0.0414
238.0	1.8751	0.0408
238.4	1.8740	0.0402
238.9	1.8730	0.0396
239.4	1.8720	0.0390
239.8	1.8709	0.0384
240.3	1.8699	0.0378
240.7	1.8689	0.0373
241.2	1.8678	0.0367
241.7	1.8668	0.0361
242.2	1.8658	0.0356
242.6	1.8648	0.0350
243.1	1.8638	0.0345
243.6	1.8628	0.0339
244.1	1.8618	0.0334
244.5	1.8607	0.0329
245.0	1.8597	0.0323
245.5	1.8587	0.0318
246.0	1.8578	0.0313
246.5	1.8568	0.0308
247.0	1.8558	0.0303
247.5	1.8548	0.0298
248.0	1.8538	0.0293
248.5	1.8528	0.0288
249.0	1.8518	0.0283
249.5	1.8509	0.0278
250.0	1.8499	0.0273
250.5	1.8489	0.0269
251.0	1.8479	0.0264
251.5	1.8470	0.0259
252.0	1.8460	0.0255
252.5	1.8451	0.0250
253.0	1.8441	0.0246
253.5	1.8431	0.0241
254.1	1.8422	0.0237
254.6	1.8412	0.0232
255.1	1.8403	0.0228
255.6	1.8394	0.0224
256.2	1.8384	0.0220
256.7	1.8375	0.0215
257.2	1.8365	0.0211
257.8	1.8356	0.0207
258.3	1.8347	0.0203
258.8	1.8338	0.0199
259.4	1.8328	0.0195
259.9	1.8319	0.0191
260.5	1.8310	0.0187
261.0	1.8301	0.0184
261.6	1.8292	0.0180
262.1	1.8283	0.0176
262.7	1.8274	0.0172
263.2	1.8265	0.0169
263.8	1.8256	0.0165
264.4	1.8247	0.0162
264.9	1.8238	0.0158
265.5	1.8229	0.0155
266.1	1.8220	0.0151
266.6	1.8211	0.0148
267.2	1.8202	0.0144
267.8	1.8193	0.0141
268.4	1.8185	0.0138
268.9	1.8176	0.0135
269.5	1.8167	0.0131
270.1	1.8158	0.0128
270.7	1.8150	0.0125
271.3	1.8141	0.0122
271.9	1.8132	0.0119
272.5	1.8124	0.0116
273.1	1.8115	0.0113
273.7	1.8107	0.0110
274.3	1.8098	0.0107
274.9	1.8090	0.0105
275.5	1.8081	0.0102
276.1	1.8073	0.0099
276.8	1.8064	0.0096
277.4	1.8056	0.0094
278.0	1.8048	0.0091
278.6	1.8039	0.0088
279.2	1.8031	0.0086
279.9	1.8023	0.0083
280.5	1.8015	0.0081
281.1	1.8006	0.0078
281.8	1.7998	0.0076
282.4	1.7990	0.0074
283.1	1.7982	0.0071
283.7	1.7974	0.0069
284.4	1.7966	0.0067
285.0	1.7958	0.0065
285.7	1.7950	0.0062
286.3	1.7942	0.0060
287.0	1.7934	0.0058
287.7	1.7926	0.0056
288.3	1.7918	0.0054
289.0	1.7910	0.0052
289.7	1.7902	0.0050
290.4	1.7895	0.0048
291.0	1.7887	0.0046
291.7	1.7879	0.0045
292.4	1.7871	0.0043
293.1	1.7864	0.0041
293.8	1.7856	0.0039
294.5	1.7848	0.0038
295.2	1.7841	0.0036
295.9	1.7833	0.0034
296.6	1.7826	0.0033
297.3	1.7818	0.0031
298.0	1.7811	0.0030
298.8	1.7803	0.0028
299.5	1.7796	0.0027
300.2	1.7788	0.0025
300.9	1.7781	0.0024
301.7	1.7774	0.0023
302.4	1.7766	0.0022
303.1	1.7759	0.0020
303.9	1.7752	0.0019
304.6	1.7745	0.0018
305.4	1.7738	0.0017
306.1	1.7730	0.0016
306.9	1.7723	0.0015
307.7	1.7716	0.0014
308.4	1.7709	0.0013
309.2	1.7702	0.0012
310.0	1.7695	0.0011
310.7	1.7688	0.0010
311.5	1.7681	0.0009
312.3	1.7675	0.0008
313.1	1.7668	0.0007
313.9	1.7661	0.0007
314.7	1.7654	0.0006
315.5	1.7648	0.0005
316.3	1.7641	0.0005
317.1	1.7634	0.0004
317.9	1.7628	0.0004
318.7	1.7621	0.0003
319.5	1.7615	0.0003
320.4	1.7608	0.0002
321.2	1.7602	0.0002
322.0	1.7595	0.0002
322.9	1.7589	0.0001
323.7	1.7583	0.0001
324.6	1.7576	0.0001
325.4	1.7570	0.0000
326.3	1.7564	0.0000
327.1	1.7558	0.0000
328.0	1.7552	0.0000
328.9	1.7546	0.0000
329.7	1.7540	0.0000
330.6	1.7534	0.0000
331.5	1.7529	0.0000
332.4	1.7523	0.0000
333.3	1.7517	0.0000
334.2	1.7512	0.0000
335.1	1.7506	0.0000
336.0	1.7501	0.0000
336.9	1.7496	0.0000
337.8	1.7490	0.0000
338.8	1.7485	0.0000
339.7	1.7480	0.0000
340.6	1.7474	0.0000
341.6	1.7469	0.0000
342.5	1.7464	0.0000
343.4	1.7459	0.0000
344.4	1.7454	0.0000
345.4	1.7449	0.0000
346.3	1.7444	0.0000
347.3	1.7439	0.0000
348.3	1.7434	0.0000
349.3	1.7429	0.0000
350.2	1.7425	0.0000
351.2	1.7420	0.0000
352.2	1.7415	0.0000
353.2	1.7410	0.0000
354.2	1.7406	0.0000
355.3	1.7401	0.0000
356.3	1.7396	0.0000
357.3	1.7392	0.0000
358.3	1.7387	0.0000
359.4	1.7383	0.0000
360.4	1.7378	0.0000
361.5	1.7374	0.0000
362.5	1.7369	0.0000
363.6	1.7365	0.0000
364.7	1.7361	0.0000
365.7	1.7356	0.0000
366.8	1.7352	0.0000
367.9	1.7348	0.0000
369.0	1.7343	0.0000
370.1	1.7339	0.0000
371.2	1.7335	0.0000
372.3	1.7331	0.0000
373.4	1.7327	0.0000
374.6	1.7322	0.0000
375.7	1.7318	0.0000
376.9	1.7314	0.0000
378.0	1.7310	0.0000
379.2	1.7306	0.0000
380.3	1.7302	0.0000
381.5	1.7298	0.0000
382.7	1.7294	0.0000
383.9	1.7290	0.0000
385.0	1.7287	0.0000
386.2	1.7283	0.0000
387.5	1.7279	0.0000
388.7	1.7275	0.0000
389.9	1.7271	0.0000
391.1	1.7267	0.0000
392.4	1.7264	0.0000
393.6	1.7260	0.0000
394.9	1.7256	0.0000
396.1	1.7253	0.0000
397.4	1.7249	0.0000
398.7	1.7245	0.0000
400.0	1.7242	0.0000
401.2	1.7238	0.0000
402.5	1.7234	0.0000
403.9	1.7231	0.0000
405.2	1.7227	0.0000
406.5	1.7224	0.0000
407.8	1.7220	0.0000
409.2	1.7217	0.0000
410.5	1.7213	0.0000
411.9	1.7210	0.0000
413.3	1.7207	0.0000
414.7	1.7203	0.0000
416.1	1.7200	0.0000
417.5	1.7196	0.0000
418.9	1.7193	0.0000
420.3	1.7190	0.0000
421.7	1.7187	0.0000
423.2	1.7183	0.0000
424.6	1.7180	0.0000
426.1	1.7177	0.0000
427.5	1.7174	0.0000
429.0	1.7170	0.0000
430.5	1.7167	0.0000
432.0	1.7164	0.0000
433.5	1.7161	0.0000
435.0	1.7158	0.0000
436.6	1.7155	0.0000
438.1	1.7152	0.0000
439.7	1.7149	0.0000
441.2	1.7146	0.0000
442.8	1.7142	0.0000
444.4	1.7139	0.0000
446.0	1.7136	0.0000
447.6	1.7134	0.0000
449.2	1.7131	0.0000
450.9	1.7128	0.0000
452.5	1.7125	0.0000
454.2	1.7122	0.0000
455.8	1.7119	0.0000
457.5	1.7116	0.0000
459.2	1.7113	0.0000
460.9	1.7110	0.0000
462.6	1.7107	0.0000
464.4	1.7105	0.0000
466.1	1.7102	0.0000
467.9	1.7099	0.0000
469.6	1.7096	0.0000
471.4	1.7094	0.0000
473.2	1.7091	0.0000
475.0	1.7088	0.0000
476.9	1.7085	0.0000
478.7	1.7083	0.0000
480.6	1.7080	0.0000
482.4	1.7078	0.0000
484.3	1.7075	0.0000
486.2	1.7072	0.0000
488.1	1.7070	0.0000
490.1	1.7067	0.0000
492.0	1.7065	0.0000
494.0	1.7062	0.0000
495.9	1.7059	0.0000
497.9	1.7057	0.0000
499.9	1.7054	0.0000
502.0	1.7052	0.0000
504.0	1.7049	0.0000
506.1	1.7047	0.0000
508.1	1.7044	0.0000
510.2	1.7042	0.0000
512.3	1.7040	0.0000
514.5	1.7037	0.0000
516.6	1.7035	0.0000
518.8	1.7032	0.0000
520.9	1.7030	0.0000
523.1	1.7028	0.0000
525.4	1.7025	0.0000
527.6	1.7023	0.0000
529.9	1.7021	0.0000
532.1	1.7018	0.0000
534.4	1.7016	0.0000
536.7	1.7014	0.0000
539.1	1.7012	0.0000
541.4	1.7009	0.0000
543.8	1.7007	0.0000
546.2	1.7005	0.0000
548.6	1.7003	0.0000
551.0	1.7001	0.0000
553.5	1.6998	0.0000
556.0	1.6996	0.0000
558.5	1.6994	0.0000
561.0	1.6992	0.0000
563.6	1.6990	0.0000
566.1	1.6988	0.0000
568.7	1.6986	0.0000
571.4	1.6984	0.0000
574.0	1.6981	0.0000
576.7	1.6979	0.0000
579.4	1.6977	0.0000
582.1	1.6975	0.0000
584.8	1.6973	0.0000
587.6	1.6971	0.0000
590.4	1.6969	0.0000
593.2	1.6967	0.0000
596.1	1.6965	0.0000
599.0	1.6963	0.0000
601.9	1.6961	0.0000
604.8	1.6960	0.0000
607.8	1.6958	0.0000
610.8	1.6956	0.0000
613.8	1.6954	0.0000
616.8	1.6952	0.0000
619.9	1.6950	0.0000
623.0	1.6948	0.0000
626.2	1.6946	0.0000
629.4	1.6944	0.0000
632.6	1.6943	0.0000
635.8	1.6941	0.0000
639.1	1.6939	0.0000
642.4	1.6937	0.0000
645.8	1.6935	0.0000
649.1	1.6934	0.0000
652.6	1.6932	0.0000
656.0	1.6930	0.0000
659.5	1.6928	0.0000
663.0	1.6927	0.0000
666.6	1.6925	0.0000
670.2	1.6923	0.0000
673.8	1.6922	0.0000
677.5	1.6920	0.0000
681.2	1.6918	0.0000
685.0	1.6917	0.0000
688.8	1.6915	0.0000
692.7	1.6913	0.0000
696.5	1.6912	0.0000
700.5	1.6910	0.0000
704.5	1.6909	0.0000
708.5	1.6907	0.0000
712.6	1.6905	0.0000
716.7	1.6904	0.0000
720.8	1.6902	0.0000
725.1	1.6901	0.0000
729.3	1.6899	0.0000
733.6	1.6898	0.0000
738.0	1.6896	0.0000
742.4	1.6895	0.0000
746.9	1.6893	0.0000
751.4	1.6892	0.0000
756.0	1.6890	0.0000
760.6	1.6889	0.0000
765.3	1.6887	0.0000
770.1	1.6886	0.0000
774.9	1.6884	0.0000
779.8	1.6883	0.0000
784.7	1.6882	0.0000
789.7	1.6880	0.0000
794.8	1.6879	0.0000
799.9	1.6877	0.0000
805.1	1.6876	0.0000
810.4	1.6875	0.0000
815.7	1.6873	0.0000
821.1	1.6872	0.0000
826.6	1.6871	0.0000
832.1	1.6869	0.0000
837.7	1.6868	0.0000
843.4	1.6867	0.0000
849.2	1.6865	0.0000
855.1	1.6864	0.0000
861.0	1.6863	0.0000
867.0	1.6862	0.0000
873.1	1.6860	0.0000
879.3	1.6859	0.0000
885.6	1.6858	0.0000
892.0	1.6857	0.0000
898.4	1.6856	0.0000
905.0	1.6854	0.0000
911.7	1.6853	0.0000
918.4	1.6852	0.0000
925.3	1.6851	0.0000
932.2	1.6850	0.0000
939.3	1.6849	0.0000
946.5	1.6847	0.0000
953.7	1.6846	0.0000
961.1	1.6845	0.0000
